g_name;population_size;number_of_edges;beta;innovators_perc;centrism;conformism;clustering;m_barabasi;p_rew_erdos;recommender;rewiring;s;max_time;misinformation;epsilon;n_experiments;mu;delta;time;converged;tot_rewiring;simulation_seed;opinion_seed;graph_seed;avg_op0;avg_opf;ndi0;ndif;stdv0;stdvf;clust0;clustf;BC0;BCf;neigh_corr0;neigh_corrf;num_peaks0;num_peaksf;rwc0;rwcf;strongly_cc0;strongly_ccf;propro;prono;nono;nopro;other
fortunato;400;5543;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2771;18;16;17;0.49212835482497214;0.47988998414858114;0.34501541988306883;0.25419397232857976;0.29571799584872605;0.26474716627311495;0.1790928415074125;0.21861177551503058;0.5789849981328935;0.9305276651128663;0.04719423509865321;0.10211419233228687;2;2;0.3438109455258353;0.26805069444720436;1;1;1841258;189;2237398;232;1920033
fortunato;400;7345;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;3672;2;0;1;0.4961959284432504;0.5069263522615074;0.3249737164028899;0.23388268640840276;0.28324100543009884;0.2459490914013174;0.2788715560122059;0.25099759670254485;0.5470043941834679;0.9489524031444696;0.041874839222459104;0.07052877760771095;2;2;0.3805791434865231;0.26690203540143687;1;1;2535791;148;1518352;111;1944400
fortunato;400;5565;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2782;114;112;113;0.4741826545846696;0.4703736804056695;0.30565356092504686;0.2558326554309472;0.273143753376391;0.25309714104924896;0.1595333170474106;0.21913057304366163;0.5213832545140439;0.5046958789464923;0.06891881231254635;0.08226965827459527;2;3;0.36263868745155525;0.2879597206792185;1;1;2287568;423;1415712;419;2294583
fortunato;400;6552;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;1998;34;32;33;0.524142155740892;0.5248537687532986;0.33281513558421716;0.24176580374173545;0.2882749097447745;0.2522119901558543;0.20510994932801294;0.24585566819779373;0.5325840969526549;0.6572947004053142;0.004388387289946909;0.07197941437344658;2;3;0.35483325170974617;0.29887862363087053;1;1;992309;459;2903027;468;2102728
fortunato;400;6792;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2669;66;64;65;0.47999319163354726;0.4695889883596716;0.3159938434634019;0.2294085685942877;0.26728098137632267;0.2317822261254964;0.2749752419993668;0.2830590658266047;0.5077378687269746;0.8744052783115509;0.029240762848909488;-0.018912735465966175;2;2;0.3810338964068142;0.2949612427494834;1;1;1744480;228;2263200;138;1991003
fortunato;400;7754;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2895;98;96;97;0.5499300613502718;0.5519169573597145;0.34332677005759515;0.23776200374740783;0.2912401048518056;0.24104047126432554;0.2582235733091948;0.26574714418381895;0.6053809281299669;0.8550754143480895;-0.09575922043811731;-0.01749239122009371;2;3;0.3546918504458086;0.28855924473112315;1;1;1813355;263;2175377;188;2008386
fortunato;400;7928;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;3223;50;48;49;0.5159504167707115;0.5136103299734127;0.3125507693306951;0.2268039778959928;0.2730057674433689;0.22748493409465834;0.44539445728900967;0.35775794141456585;0.5073957074435241;0.45469781373774737;-0.06281284848934479;0.04262619831338371;2;3;0.3965717533097036;0.30689732288282157;1;1;929487;305;2816222;459;2251725
fortunato;400;6245;0.0;0.5;1.0;0.2;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2537;82;80;81;0.4721737676057273;0.4904604318864218;0.32425772059072916;0.2042305746676137;0.28443733691167356;0.22828219977173686;0.24129620155955675;0.2765600476937251;0.5032692062914951;0.7907361573842898;-0.005620040876295362;-0.011181192052560476;2;3;0.38286786317190036;0.31176794926330326;1;1;3462006;656;860349;766;1676191
fortunato;400;5543;0.0;0.5;1.0;0.2;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2771;18;16;17;0.49212835482497214;0.47691176536155955;0.34501541988306883;0.25132813839196877;0.29571799584872605;0.2620057970299932;0.1790928415074125;0.543854167135178;0.5789849981328935;0.908081472001936;0.04719423509865321;0.08265742315038069;2;2;0.3438109455258353;0.47926367325789454;1;2;1662414;189;2382161;232;1954995
fortunato;400;6552;0.0;0.5;1.0;0.2;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2427;34;32;33;0.524142155740892;0.5246331353549948;0.33281513558421716;0.23618689148487915;0.2882749097447745;0.25187979723489756;0.20510994932801294;0.5469198843068778;0.5325840969526549;0.656826693474751;0.004388387289946909;0.0432507472716012;2;3;0.35483325170974617;0.4682265061428795;1;1;954601;459;2913270;468;2131166
fortunato;400;5565;0.0;0.5;1.0;0.2;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2782;114;112;113;0.4741826545846696;0.46968204362577454;0.30565356092504686;0.23494418993354074;0.273143753376391;0.23729097876439117;0.1595333170474106;0.5230466256403353;0.5213832545140439;0.5094510885921864;0.06891881231254635;0.15635192124327302;2;3;0.36263868745155525;0.4859267341842359;1;1;2287930;423;1478430;419;2232787
